ts,pt,pc,temp,q,choke
2008-02-12,1549.1,270.3,16.3,1373.0,14.5
2008-02-13,1753.3,238.8,53.4,10073.0,22.8
2008-02-14,1649.3,183.6,72.7,18009.0,31.2
2008-02-15,1694.5,76.3,70.0,13541.0,28.5
2008-02-16,1674.2,179.6,71.5,14778.0,30.2
2008-02-17,1670.9,208.6,73.6,14930.0,30.0
2008-02-18,1643.0,231.8,74.2,14614.0,30.3
2008-02-19,1650.1,272.8,74.9,15158.0,30.5
2008-02-20,1644.7,286.3,73.0,15644.0,29.9
2008-02-21,1640.5,281.8,71.7,14967.0,30.5
2008-02-22,1640.1,15.1,72.3,14048.0,29.6
2008-02-23,1633.2,159.7,69.6,8902.0,29.0
2008-02-24,1612.6,124.5,73.2,15638.0,30.8
2008-02-25,1616.4,178.5,73.1,15509.0,30.7
2008-02-26,1609.0,181.4,72.3,15782.0,30.9
2008-02-27,1600.1,179.5,74.7,15737.0,30.8
2008-02-28,1604.5,147.2,73.5,14997.0,29.9
2008-02-29,1587.4,165.7,73.4,15904.0,31.0
2008-03-01,1578.4,161.8,74.6,15806.0,31.1
2008-03-02,1571.1,162.8,75.2,15755.0,31.1
2008-03-03,1567.3,157.6,75.1,15670.0,31.0
2008-03-04,1567.5,142.6,74.3,15194.0,30.6
2008-03-05,1564.5,135.2,72.5,15457.0,30.6
2008-03-06,1556.4,132.2,75.0,15282.0,30.6
2008-03-07,1562.8,91.0,71.0,13817.0,28.8
2008-03-08,1566.9,66.6,69.3,12917.0,27.9
2008-03-09,1536.4,124.5,73.1,15107.0,31.2
2008-03-10,1527.1,130.7,73.3,15562.0,31.3
2008-03-11,1520.2,129.6,74.0,15926.0,31.4
2008-03-12,1523.7,97.1,73.9,14793.0,29.9
2008-03-13,1500.3,125.3,75.3,16193.0,31.6
2008-03-14,1497.1,113.5,75.2,15115.0,30.9
2008-03-15,1481.4,127.9,76.3,16038.0,32.1
2008-03-16,1475.6,122.0,76.0,16061.0,32.1
2008-03-17,1469.2,116.1,75.2,16606.0,32.1
2008-03-18,1463.6,112.5,75.4,15019.0,32.0
2008-03-19,1457.0,108.4,75.6,16036.0,32.0
2008-03-20,1452.2,101.1,74.7,16508.0,32.0
2008-03-21,1444.2,97.1,75.4,16190.0,32.1
2008-03-22,1438.4,93.7,75.3,16175.0,32.1
2008-03-23,1432.9,91.2,75.4,16468.0,32.1
2008-03-24,1427.2,71.9,74.8,16544.0,32.1
2008-03-25,1421.9,216.2,75.0,14358.0,32.0
2008-03-26,1419.9,214.6,75.3,4003.0,30.9
2008-03-27,17.1,8.7,6.7,0.0,
2008-03-28,1337.8,6.0,24.1,1728.0,21.3
2008-03-29,1410.9,97.8,69.3,17978.0,32.0
2008-03-30,1412.2,159.3,73.1,4852.0,30.7
2008-03-31,1423.1,103.6,70.5,13368.0,31.0
2008-04-01,1413.1,166.4,73.5,16168.0,29.8
2008-04-02,1401.9,184.9,75.8,16309.0,31.8
2008-04-03,1394.1,191.3,75.9,13172.0,32.0
2008-04-04,1387.9,192.5,75.2,16376.0,32.1
2008-04-05,1379.9,192.4,75.5,16369.0,32.2
2008-04-06,1374.8,192.3,75.4,15570.0,32.2
2008-04-07,1374.1,190.7,75.3,15975.0,32.0
2008-04-08,1371.3,189.5,74.6,15928.0,32.0
2008-04-09,1366.5,188.3,74.8,16372.0,32.0
2008-04-10,1360.6,187.3,75.4,16552.0,31.3
2008-04-11,1357.9,184.4,74.2,16207.0,31.9
2008-04-12,1351.0,182.0,73.9,8556.0,30.9
2008-04-13,1357.8,30.7,48.7,2321.0,25.8
2008-04-14,1216.6,96.6,64.0,14590.0,28.8
2008-04-15,1349.4,153.0,74.2,14137.0,32.1
2008-04-16,1348.8,160.0,74.5,16327.0,31.9
2008-04-17,1346.1,167.4,74.9,6501.0,31.7
2008-04-18,1347.2,115.2,72.3,13156.0,31.7
2008-04-19,1349.2,143.9,73.2,13530.0,30.0
2008-04-20,1343.6,162.2,75.0,14779.0,31.5
2008-04-21,1339.1,163.3,74.9,15056.0,31.5
2008-04-22,1336.8,161.9,74.2,14916.0,31.5
2008-04-23,1332.3,159.7,73.6,14907.0,31.5
2008-04-24,1328.2,158.2,73.7,16755.0,30.8
2008-04-25,1331.1,158.6,74.3,16967.0,31.5
2008-04-26,1337.8,158.3,73.4,17015.0,31.4
2008-04-27,1315.7,168.2,75.8,12389.0,31.5
